jobName	bossName	cityName	brandName	job_url	if_contact	if_continue_contact	dialogue_content	boss_content	number
贷款专员/提成日结/引流数据	张女士	成都	联银普惠	https://www.zhipin.com/job_detail/72c9ff29ae2054051Hx50tm6F1pV.html?lid=8Z9W4Yzxbs4.search.421&securityId=PPSxWer8X5SBq-R1nd-wdMe19RruVi1997oBTLgUwxZJZ51xs3armpdoIZ1C0S83Z-AnhDM0mHnUKS7BiUfl6wO9CnFoIh5F_kflmtZpbnf_sv9yiFPxc8L18ve0Ybb4WtR0ief4-gweb9phDaJjLPvEuebFbyFyoWwAvrN5BLR_tF0Low~~	1.0	1.0	您好，可以聊聊吗？您这个职位我很有兴趣，希望进一步了解\n你与该职位竞争者PK情况\n共人投递，你超过竞争者\n优秀竞争者会，建议你\n查看详细分析\n[挥手] 你好啊，可以聊一聊~\n上班时间：早上9.30-12点，下午1.30-6.30，月休6天，\n1万业绩：(25%)2500+3500=工资6000\n\n2万业绩：（30%）6300+3500=工资9500\n\n3.5万业绩：(35%)12250+3500=15750\n\n7万业绩万业绩:(38%)26600+3500+2000（奖金）=32100\n\n10.1万以上业绩：（46%）46460+3500+4000(奖金)=53960\n每天提供投流数据10-20条，一个月员工可以到手资源200条左右，开单无压力，\n请求交换电话已发送\n15114050502\n张女士的手机号\n15114050502\n复制手机号\n09-11 18:59\n附件简历请求已发送\n李舸.pdf\n点击预览附件简历\n可以看看我的简历哈，合适的话电话沟通\n可以\n对方已同意，您的附件简历已发送给对方\n对方已查看您的附件简历\n张女士撤回了一条消息\n可以\n在不	[挥手] 你好啊，可以聊一聊~\n上班时间：早上9.30-12点，下午1.30-6.30，月休6天，\n1万业绩：(25%)2500+3500=工资6000\n\n2万业绩：（30%）6300+3500=工资9500\n\n3.5万业绩：(35%)12250+3500=15750\n\n7万业绩万业绩:(38%)26600+3500+2000（奖金）=32100\n\n10.1万以上业绩：（46%）46460+3500+4000(奖金)=53960\n每天提供投流数据10-20条，一个月员工可以到手资源200条左右，开单无压力，\n可以\n可以\n在不\n	15114050502.0
金融贷款专员	易先生	成都	恒融丰商务信息咨询	https://www.zhipin.com/job_detail/8cdb8f72015a15801HN909q9GFpU.html?lid=8Z9W4Yzxbs4.search.431&securityId=xlYvZ85GY0Jzz-U1hiq1Zy2c48koXE3SKo8tSDEdH9zo1KgtDdT2EBnsUAEPEZGNxOa7Vaq4wTGhhrZOIpd6Z-lw0WYzfC2Qni-qVs9AVQR2QgDyXK9rlmPNXIzrrKet9rNGeogDk8kw1Q~~	1.0	1.0			
银行贷款专员	张黔英	成都	成都顺欣易商务信...	https://www.zhipin.com/job_detail/5f66372610b2c1cd1Hx70ty6F1BU.html?lid=8Z9W4Yzxbs4.search.441&securityId=Bd1Sl9ERMOfzX-_12wJARkgoPsQtY0z591K_xedBFG5Rgrn8WQ92aCx0uKmyhp-7Em2B8nNISh5yJj8orWEps5eiTfLtI7_bRGMAORyaE7r7nYoyJhhW-IVuswEBJ7oLYbUmr4FoGlgRANSVgDzAacC9xWh2qSdBXxLuMnCBV86pkfjfKQ~~	1.0	1.0	我想要一份您的附件简历，您是否同意\n拒绝同意\n确定向 Boss 发送简历吗？\nBoss确认后，该附件简历将直接发送至对方邮箱\n取消确定\n我们这边主要是通过电话邀约的方式邀请客户到访进行贷款业务的办理，您看工作内容可以接受吗\n工作内容：负责精准客户初审上门邀约根据客户需求制定资金方案，解决客户问题维护老客户，无需经验，无需专业功底，无需外出跑业务，我们提供带薪岗前培训\n09-11 15:13\n来面试看看吗\n09-11 15:33\n请求交换电话已发送\n开启虚拟电话，让老板直接联系你，不错过好机会！\n我加你吧\n18076046072\n张黔英的手机号\n18076046072\n复制手机号\n这个号码搜不到你微信\n可以看看我的简历哈，合适的话可以聊聊~\n可以的\n09-11 20:10\n我们这边主要是通过电话邀约的方式邀请客户到访进行贷款业务的办理，您看工作内容可以接受吗\n工作内容：负责精准客户初审上门邀约根据客户需求制定资金方案，解决客户问题维护老客户，无需经验，无需专业功底，无需外出跑业务，我们提供带薪岗前培训\n还有什么想要了解的吗\n昨天 09:10\n你好，看了你的简历，方便聊聊吗	我想要一份您的附件简历，您是否同意\n拒绝同意\n确定向 Boss 发送简历吗？\nBoss确认后，该附件简历将直接发送至对方邮箱\n取消确定\n我们这边主要是通过电话邀约的方式邀请客户到访进行贷款业务的办理，您看工作内容可以接受吗\n工作内容：负责精准客户初审上门邀约根据客户需求制定资金方案，解决客户问题维护老客户，无需经验，无需专业功底，无需外出跑业务，我们提供带薪岗前培训\n来面试看看吗\n我加你吧\n这个号码搜不到你微信\n可以的\n我们这边主要是通过电话邀约的方式邀请客户到访进行贷款业务的办理，您看工作内容可以接受吗\n工作内容：负责精准客户初审上门邀约根据客户需求制定资金方案，解决客户问题维护老客户，无需经验，无需专业功底，无需外出跑业务，我们提供带薪岗前培训\n还有什么想要了解的吗\n你好，看了你的简历，方便聊聊吗\n	18076046072.0
2w高薪贷款销售 ！！就招最后几个人	李女士	成都	瞬鑫嘉懿	https://www.zhipin.com/job_detail/f7e82b550605d6e21Hx52NS4EVtY.html?lid=8Z9W4Yzxbs4.search.451&securityId=0Z0d95DJrHaiZ-t1vdy2ShaGCoUsUgUjC86dfqWLEHVY5wIN0fGlv8Sf1IZDSaef_Q29sJDjJONDi4Crb0CTDqdguFdFdMZ2NNGT93RGCkpYvPWoW-YNMqOK_0Wksq-tDasMk5bQqPQ2DHpXJuPX5jpwJqU1Ipbt2Pne8PULoGpD2lu2	1.0	1.0	您好，可以聊聊吗？您这个职位我很有兴趣，希望进一步了解\n你与该职位竞争者PK情况\n共人投递，你超过竞争者\n优秀竞争者会，建议你\n查看详细分析\n可以的\n看你之前主要是做房地产的是吧 我们这边主要是做信贷的 都是精准客户，近期有需求的，邀约容易，不是打白名单\n主要是电销加面销的形式 看你这边能接受吗\n无责底薪6500加1000房补\n请求交换电话已发送\n18608085797\n李女士的手机号\n18608085797\n复制手机号\n搜不到呢\n你加我吧\n09-11 17:13\n附件简历请求已发送\n李舸.pdf\n点击预览附件简历\n可以看看我的简历哈，合适的话电话沟通\n对方已同意，您的附件简历已发送给对方\n10:05\n对方已查看您的附件简历\n10:11\nhello 我是刚刚和你打电话的\n我想要和您交换微信，您是否同意\n拒绝同意\n确定向 Boss 发送简历吗？\nBoss确认后，该附件简历将直接发送至对方邮箱\n取消确定\n你也可以加我 微信联系方便一点 万一你要过来就发消息	可以的\n看你之前主要是做房地产的是吧 我们这边主要是做信贷的 都是精准客户，近期有需求的，邀约容易，不是打白名单\n主要是电销加面销的形式 看你这边能接受吗\n无责底薪6500加1000房补\n搜不到呢\n你加我吧\nhello 我是刚刚和你打电话的\n我想要和您交换微信，您是否同意\n拒绝同意\n确定向 Boss 发送简历吗？\nBoss确认后，该附件简历将直接发送至对方邮箱\n取消确定\n你也可以加我 微信联系方便一点 万一你要过来就发消息\n	18608085797.0
金融贷款销售专员+周末双休	李女士	成都	成都南鲸汇企业管理	https://www.zhipin.com/job_detail/d083bd5f3ca34bbb1HB53Ny9E1NQ.html?lid=8Z9W4Yzxbs4.search.461&securityId=XuUg16iUGYilf-V1aTPt3XxulaIu7u4eXh8AbwJtq-nmwEAQzXglPvrQj37o3YbRaQIfPJck6pTsj5c83an4C4vIa7e1TdAtB5QsI_2JwtRHjl315RnF-EMY9Z2e-QCRsz4tz3Pt0qarnek7LP8vpIoVpGMp3hqquU8raSJOYGF-ubd9	1.0	1.0			
贷款顾问+优质资源 双休社保	周女士	成都	光盈股份	https://www.zhipin.com/job_detail/2e3fb3d30cb949b01HNy3N-5FVRS.html?lid=8Z9W4Yzxbs4.search.471&securityId=7NdygCFW1AnVE-31CecO3gZ3DBFcITkYN9X3dXKJCYIq1KrlIJ-uX_jE9tGjYl5yCYRsOc7mHGlA_WMjm4CyqbEeDc3ec4XEKHTlvkKtqhGwijGoJKv4jANxB00VDugF9q8x44NMVby_ohV_xMEcyNUpDsXV08iEXfAVScqgIjnTmBYS	1.0	1.0	您好，可以聊聊吗？您这个职位我很有兴趣，希望进一步了解\n你与该职位竞争者PK情况\n共人投递，你超过竞争者\n优秀竞争者会，建议你\n查看详细分析\n我们底薪试用期无责3500，每2个月根据总业绩定星级，然后薪资上升，底薪最高就是7400，提成12-42，通提，做到哪个金额就全部提对应的点位～薪酬能接受吗\n09-11 15:38\n可以\n请求交换电话已发送\n13281895257\n周女士的手机号\n13281895257\n复制手机号\n09-11 16:26\n亲 你加下我呢\n你的没搜出来呢	我们底薪试用期无责3500，每2个月根据总业绩定星级，然后薪资上升，底薪最高就是7400，提成12-42，通提，做到哪个金额就全部提对应的点位～薪酬能接受吗\n亲 你加下我呢\n你的没搜出来呢\n	13281895257.0
金融贷款顾问+周末双休	李女士	成都	嘉融瑞银	https://www.zhipin.com/job_detail/ecff5f9fa610eb191HF409i-FFtQ.html?lid=8Z9W4Yzxbs4.search.481&securityId=NoMn3ZBJjqbrk-31ftiKlcVJdRL-5upTJ59Wxt9HDj3nECWeErkifohfnDwaaADpvngQgVgFKXZfH5mjMFvbjIrVmCH-MC0HduVXl52WOoSHGulNUPC6-fe8AJQemUQAijbMf0fOy0ouakd14zlxT_Xe71suPzZra1WOpZpEOkqQllIYCA~~	1.0	1.0	Hello，你好啊，看到你的简历，觉得蛮合适的~要聊一下吗~\n09-11 17:43\n盯～你有一份生发秘籍，啊不，工作邀请，请查收✨\n12:23\n你好~\n附件简历请求已发送\n李舸.pdf\n点击预览附件简历\n可以看看我的简历哈，合适的话电话沟通\n请求交换电话已发送\n13:59\n对方已同意，您的附件简历已发送给对方\n对方已查看您的附件简历\n19982050216\n李女士的手机号\n19982050216\n复制手机号\n您是否接受此工作地点?\n香港置地·光环中心T1(成都锦江区香港置地·光环中心T1708)\n暂不考虑可以接受	Hello，你好啊，看到你的简历，觉得蛮合适的~要聊一下吗~\n盯～你有一份生发秘籍，啊不，工作邀请，请查收✨\n	19982050216.0
[8千-2万]急招贷款顾问+通提50%	彭小芳	成都	成都贷言人商务信...	https://www.zhipin.com/job_detail/6c796649fc72d28e1Hd82t-_EVpX.html?lid=8Z9W4Yzxbs4.search.491&securityId=jbw6Fl9chpP8r-61sdu70c4Z_PYEsEhgQ7SFGAZW-4wOAqxuhkTTsF0mLaMsi0d3Yc2XVSa1pG1JwrGlnNZr-WiELSc_lo6bJ2wjMGgnd4-wamWI0RzbetOmNiUEnvzufe9hMq2ZSmYJ3joPIWQQpmmNqtzCgvMuMwDvVijyRRUX0mRo	1.0	1.0	您好，可以聊聊吗？您这个职位我很有兴趣，希望进一步了解\n你与该职位竞争者PK情况\n共人投递，你超过竞争者\n优秀竞争者会，建议你\n查看详细分析\n你好 请问有电销经验吗\n09-11 15:37\n有\n请求交换电话已发送\n18328027691\n彭小芳的手机号\n18328027691\n复制手机号\n搜不到你的微信呢	你好 请问有电销经验吗\n搜不到你的微信呢\n	18328027691.0
贷款审核+接受小白+均薪8k+	张女士	成都	张哥	https://www.zhipin.com/job_detail/04da06d9a996e2a41HZ43925ElVY.html?lid=8Z9W4Yzxbs4.search.501&securityId=3wJ8L1vD2utOj-C1Y7_G0e4q7cWxgWhMx1InoWaYM-c6xkjWkFKUitG0xJCiBzgz_9iKbQ_fwEbPSij65EFoV8CJBt5aIlXi0yxedgakkMziMAMwLYkZ_y8fZOcGT7RdboM4g-ddhawues4QTPFlknYOooqfaJgvQKaeDh22TX0Ut9gJ	1.0	1.0	您好，可以聊聊吗？您这个职位我很有兴趣，希望进一步了解\n你与该职位竞争者PK情况\n共人投递，你超过竞争者\n优秀竞争者会，建议你\n查看详细分析\n09-11 15:31\n你这边在职还是离职呢\n请求交换电话已发送\n开启虚拟电话，让老板直接联系你，不错过好机会！\n我想要和您交换微信，您是否同意\n拒绝同意\n确定向 Boss 发送简历吗？\nBoss确认后，该附件简历将直接发送至对方邮箱\n取消确定\n15307608466\n张女士的微信号\n15307608466\n复制微信号	\n你这边在职还是离职呢\n我想要和您交换微信，您是否同意\n拒绝同意\n确定向 Boss 发送简历吗？\nBoss确认后，该附件简历将直接发送至对方邮箱\n取消确定\n	15307608466.0
银行贷款专员（双休）+大公司，福利好	张先生	成都	锦源投资	https://www.zhipin.com/job_detail/3d8a8d485d48e8871HN73t67EVVU.html?lid=8Z9W4Yzxbs4.search.511&securityId=AkAGNYf7lBjCs-g1Rd48DwP2KVrlgHnCsNG9n1WAIwWAXP6E9M_yoOgJ9h17lGE7L_b5YXJqA0NJ4jfgDicLYZPT6IlnOuwP-k9mF37OUJ2bxaAwr31hvNjTB0sdr0Jg6zKl3Vvuj6iF2LPQLIEmWg9jHP-JscGfRagTDtzHWcpfs28C	1.0	0.0			
